0, 0.05263158, 1, 0.7, 0.7, 0.52, 0.65, 1, 0, 0.65, 0.4, 0, 0.7, 0.75, 0, 0.1, 0, 0, 0.65, 0.4	0	2,0,11
0, 0.05263158, 0, 0.7, 0.75, 0, 0.1, 0, 0, 0.65, 0.4, 1, 0.7, 0.7, 0.52, 0.65, 1, 0, 0.65, 0.4	1	-11,-2,-26
0, 0.05263158, 1, 0.55, 0.6, 0.96, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.55, 0.6, 0.96, 0.15, 1, 0, 0, 0, 0, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0	2	-2,0,0
0.05263158, 0, 0, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.96, 0.15, 1, 0, 0, 0	1	4,0,0
0, 0.05263158, 1, 0.55, 0.5, 0.92, 0.15, 1, 0, 0, 0, 0, 0.55, 0.55, 0.96, 0.1, 0, 0, 0, 0	0	-1,0,1
0, 0.05263158, 0, 0.55, 0.55, 0.96, 0.1, 0, 0, 0, 0, 1, 0.55, 0.5, 0.92, 0.15, 1, 0, 0, 0	1	-1,1,-6
0.05263158, 0, 1, 0.55, 0.5, 0.92, 0.2, 1, 0, 0, 0, 0, 0.6, 0.5, 0.96, 0.1, 0, 0, 0, 0	2	-1,0,1
0.05263158, 0, 0, 0.6, 0.5, 0.96, 0.1, 0, 0, 0, 0, 1, 0.55, 0.5, 0.92, 0.2, 1, 0, 0, 0	1	4,-1,1
0, 0.05263158, 1, 0.55, 0.4, 0.88, 0.2, 1, 0, 0, 0, 0, 0.55, 0.45, 0.92, 0.1, 0, 0, 0, 0	0	-1,0,2
0, 0.05263158, 0, 0.55, 0.45, 0.92, 0.1, 0, 0, 0, 0, 1, 0.55, 0.4, 0.88, 0.2, 1, 0, 0, 0	1	-2,1,-8
0.05263158, 0, 1, 0.55, 0.4, 0.88, 0.25, 1, 0, 0, 0, 0, 0.6, 0.4, 0.92, 0.1, 0, 0, 0, 0	2	-1,0,2
0.05263158, 0, 0, 0.6, 0.4, 0.92, 0.1, 0, 0, 0, 0, 1, 0.55, 0.4, 0.88, 0.25, 1, 0, 0, 0	1	4,-2,1
0, 0.05263158, 1, 0.55, 0.3, 0.84, 0.25, 1, 0, 0, 0, 0, 0.55, 0.35, 0.88, 0.1, 0, 0, 0, 0	0	-1,0,3
0, 0.05263158, 0, 0.55, 0.35, 0.88, 0.1, 0, 0, 0, 0, 1, 0.55, 0.3, 0.84, 0.25, 1, 0, 0, 0	1	-3,1,-10
0.05263158, 0, 1, 0.55, 0.3, 0.84, 0.3, 1, 0, 0, 0, 0, 0.5, 0.3, 0.88, 0.1, 0, 0, 0, 0	2	-1,0,3
0.05263158, 0, 0, 0.5, 0.3, 0.88, 0.1, 0, 0, 0, 0, 1, 0.55, 0.3, 0.84, 0.3, 1, 0, 0, 0	1	4,-3,1
0.05263158, 0, 1, 0.6, 0.35, 0.8, 0.3, 1, 0, 0, 0.95, 0, 0.55, 0.35, 0.8, 0.1, 0, 0, 0, 0.95	0	0,0,4
0.05263158, 0, 0, 0.55, 0.35, 0.8, 0.1, 0, 0, 0, 0.95, 1, 0.6, 0.35, 0.8, 0.3, 1, 0, 0, 0.95	1	-4,0,-12
0.05263158, 0, 1, 0.6, 0.35, 0.8, 0.35, 1, 0, 0, 0.95, 0, 0.65, 0.35, 0.8, 0.1, 0, 0, 0, 0.95	2	0,0,4
0.05263158, 0, 0, 0.65, 0.35, 0.8, 0.1, 0, 0, 0, 0.95, 1, 0.6, 0.35, 0.8, 0.35, 1, 0, 0, 0.95	1	4,-4,1
0, 0.05263158, 1, 0.65, 0.3, 0.76, 0.35, 1, 0, 0, 0.95, 0, 0.65, 0.35, 0.72, 0.1, 0, 0, 0, 0.95	0	0,0,5
0, 0.05263158, 0, 0.65, 0.35, 0.72, 0.1, 0, 0, 0, 0.95, 1, 0.65, 0.3, 0.76, 0.35, 1, 0, 0, 0.95	1	-5,0,-14
0.05263158, 0, 1, 0.65, 0.3, 0.76, 0.4, 1, 0, 0, 0.95, 0, 0.6, 0.3, 0.72, 0.1, 0, 0, 0, 0.95	2	0,0,5
0.05263158, 0, 0, 0.6, 0.3, 0.72, 0.1, 0, 0, 0, 0.95, 1, 0.65, 0.3, 0.76, 0.4, 1, 0, 0, 0.95	1	4,-5,1
0.05263158, 0, 1, 0.7, 0.35, 0.72, 0.4, 1, 0, 0, 0.95, 0, 0.65, 0.35, 0.64, 0.1, 0, 0, 0, 0.95	0	0,0,6
0.05263158, 0, 0, 0.65, 0.35, 0.64, 0.1, 0, 0, 0, 0.95, 1, 0.7, 0.35, 0.72, 0.4, 1, 0, 0, 0.95	1	-6,0,-16
0, 0.05263158, 1, 0.7, 0.35, 0.72, 0.45, 1, 0, 0, 0.95, 0, 0.7, 0.3, 0.64, 0.1, 0, 0, 0, 0.95	2	0,0,6
0, 0.05263158, 0, 0.7, 0.3, 0.64, 0.1, 0, 0, 0, 0.95, 1, 0.7, 0.35, 0.72, 0.45, 1, 0, 0, 0.95	1	4,-6,1
0, 0.05263158, 1, 0.75, 0.3, 0.68, 0.45, 1, 0, 0, 0.95, 0, 0.75, 0.35, 0.52, 0.1, 0, 0, 0, 0.95	0	1,0,7
0, 0.05263158, 0, 0.75, 0.35, 0.52, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.3, 0.68, 0.45, 1, 0, 0, 0.95	1	-7,-1,-18
0.05263158, 0, 1, 0.75, 0.3, 0.68, 0.5, 1, 0, 0, 0.95, 0, 0.7, 0.3, 0.52, 0.1, 0, 0, 0, 0.95	2	1,0,7
0.05263158, 0, 0, 0.7, 0.3, 0.52, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.3, 0.68, 0.5, 1, 0, 0, 0.95	1	4,-7,1
0, 0.05263158, 1, 0.75, 0.4, 0.64, 0.5, 1, 0, 0, 0.95, 0, 0.75, 0.35, 0.4, 0.1, 0, 0, 0, 0.95	0	1,0,8
0, 0.05263158, 0, 0.75, 0.35, 0.4, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.4, 0.64, 0.5, 1, 0, 0, 0.95	1	-8,-1,-20
0, 0.05263158, 1, 0.75, 0.4, 0.64, 0.55, 1, 0, 0, 0.95, 0, 0.75, 0.45, 0.4, 0.1, 0, 0, 0, 0.95	2	1,0,8
0, 0.05263158, 0, 0.75, 0.45, 0.4, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.4, 0.64, 0.55, 1, 0, 0, 0.95	1	4,-8,1
0, 0.05263158, 1, 0.7, 0.45, 0.6, 0.55, 1, 0, 0, 0.95, 0, 0.7, 0.4, 0.28, 0.1, 0, 0, 0, 0.95	0	1,0,9
0, 0.05263158, 0, 0.7, 0.4, 0.28, 0.1, 0, 0, 0, 0.95, 1, 0.7, 0.45, 0.6, 0.55, 1, 0, 0, 0.95	1	-9,-1,-22
0, 0.05263158, 1, 0.7, 0.45, 0.6, 0.6, 1, 0, 0, 0.95, 0, 0.7, 0.4, 0.28, 0.1, 0, 0, 0, 0.95	2	1,0,9
0, 0.05263158, 0, 0.7, 0.4, 0.28, 0.1, 0, 0, 0, 0.95, 1, 0.7, 0.45, 0.6, 0.6, 1, 0, 0, 0.95	1	4,-9,1
0, 0.05263158, 1, 0.75, 0.5, 0.56, 0.6, 1, 0, 0, 0.95, 0, 0.75, 0.45, 0.12, 0.1, 0, 0, 0, 0.95	0	2,0,10
0, 0.05263158, 0, 0.75, 0.45, 0.12, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.5, 0.56, 0.6, 1, 0, 0, 0.95	1	-10,-2,-24
0.05263158, 0, 1, 0.75, 0.5, 0.56, 0.65, 1, 0, 0, 0.95, 0, 0.8, 0.5, 0.12, 0.1, 0, 0, 0, 0.95	2	2,0,10
0.05263158, 0, 0, 0.8, 0.5, 0.12, 0.1, 0, 0, 0, 0.95, 1, 0.75, 0.5, 0.56, 0.65, 1, 0, 0, 0.95	1	4,-10,1
0, 0.05263158, 1, 0.7, 0.45, 0.52, 0.65, 1, 0, 0, 0.95, 0, 0.7, 0.5, 0, 0.1, 0, 0, 0, 0.95	0	2,0,11
0, 0.05263158, 0, 0.7, 0.5, 0, 0.1, 0, 0, 0, 0.95, 1, 0.7, 0.45, 0.52, 0.65, 1, 0, 0, 0.95	1	-11,-2,-26
0, 0.05263158, 1, 0.6, 0.65, 0.96, 0.1, 1, 0, 0, 0, 0, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 0, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.6, 0.65, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 1, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 0, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.5, 0.8, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 1, 0.55, 0.5, 0.8, 0.1, 1, 0, 0, 0, 0, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.64, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.55, 0.5, 0.64, 0.1, 1, 0, 0, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.6, 0.55, 0.6, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.6, 0.55, 0.6, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.55, 0.44, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.6, 0.55, 0.44, 0.1, 1, 0, 0, 0, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0, 1, 0.6, 0.55, 0.28, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 1, 0.6, 0.55, 0.28, 0.1, 1, 0, 0, 0, 0, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.55, 0.24, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.6, 0.55, 0.24, 0.1, 1, 0, 0, 0, 1, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 0, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.6, 0.55, 0.08, 0.1, 1, 0, 0, 0	0	4,0,0
0.05263158, 0, 1, 0.6, 0.55, 0.08, 0.1, 1, 0, 0, 0, 0, 0.65, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.6, 0.55, 0, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.6, 0.55, 0, 0.1, 1, 0, 0, 0, 1, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.5, 0.55, 0.8, 0.1, 1, 0, 0, 0	0	4,0,0
0.05263158, 0, 1, 0.5, 0.55, 0.8, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.64, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.5, 0.55, 0.64, 0.1, 1, 0, 0, 0, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.6, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.55, 0.6, 0.6, 0.1, 1, 0, 0, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0.44, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.55, 0.6, 0.44, 0.1, 1, 0, 0, 0, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.28, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 1, 0.55, 0.6, 0.28, 0.1, 1, 0, 0, 0, 0, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0.24, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.55, 0.6, 0.24, 0.1, 1, 0, 0, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.08, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 1, 0.55, 0.6, 0.08, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0, 0.1, 1, 0, 0, 0	0	4,0,0
0.05263158, 0, 0, 0.55, 0.6, 0, 0.1, 1, 0, 0, 0, 1, 0.6, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.5, 0.55, 0.8, 0.1, 1, 0, 0, 0	0	4,0,0
0.05263158, 0, 1, 0.5, 0.55, 0.8, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.64, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.5, 0.55, 0.64, 0.1, 1, 0, 0, 0, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.6, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.55, 0.6, 0.6, 0.1, 1, 0, 0, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0.44, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.55, 0.6, 0.44, 0.1, 1, 0, 0, 0, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.28, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 1, 0.55, 0.6, 0.28, 0.1, 1, 0, 0, 0, 0, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0.24, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.55, 0.6, 0.24, 0.1, 1, 0, 0, 0, 1, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.6, 0.08, 0.1, 1, 0, 0, 0	0	4,0,0
0.05263158, 0, 1, 0.55, 0.6, 0.08, 0.1, 1, 0, 0, 0, 0, 0.5, 0.6, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.6, 0, 0.1, 1, 0, 0, 0	0	4,0,0
0, 0.05263158, 0, 0.55, 0.6, 0, 0.1, 1, 0, 0, 0, 1, 0.55, 0.65, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.55, 0.55, 0, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.5, 0.55, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.55, 0, 0.1, 0, 0, 0, 0	0	-2,0,0
0, 0.05263158, 1, 0.55, 0.45, 0, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.45, 0, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 1, 0.6, 0.5, 0, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.55, 0.5, 0.96, 0.1, 1, 0, 0, 0, 1, 0.6, 0.5, 0, 0.1, 0, 0, 0, 0	0	-2,0,0
0.05263158, 0, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 0, 0.55, 0.5, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 0, 0.6, 0.5, 0.84, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.84, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.45, 0.84, 0.1, 0, 0, 0, 0, 0, 0.6, 0.5, 0.84, 0.1, 0, 0, 0, 0	0	0,2,-4
